,percent_rounded,percent_geochem_preserved,actual_volume,avg_r,non-uni,uni,mantle_temp,int_temp,mean_it3
293,67.4766649441251,100.0,1981568,109.33333333333333,154,20,488.0,1880,973.492632989923
294,69.1906474012829,0.0,1782264,75.33333333333333,78,70,1211.0,1660,1459.39322897069
295,29.2073456576239,100.0,392504,59.333333333333336,82,14,694.5,1690,922.179068139207
296,93.0365936251987,16.2570855163987,15438536,154.66666666666666,160,144,675.5,1870,1616.56230015634
297,100.0,0.0,2381400,92.66666666666667,60,158,1487.0,1880,1710.56823978603
298,9.55005546819701,0.0,5458984,109.33333333333333,106,116,1279.0,1600,1501.27012880324
299,85.8042371069609,35.2944373671278,15454696,154.66666666666666,150,164,572.5,1720,1447.83130466702
300,0.0,100.0,44248,32.666666666666664,12,74,746.0,1670,802.392680007519
301,19.2718230086333,100.0,1309352,112.0,162,12,694.5,1750,933.06277667157
302,86.268254509736,33.4034343077643,23333960,177.33333333333334,174,184,526.5,1710,1459.92465109633
303,99.7701288540591,0.0,9253880,132.66666666666666,114,170,1268.0,1870,1682.66385714948
304,51.0623446966524,100.0,859608,99.33333333333333,144,10,893.5,1900,1083.5405920982
305,25.0763976271796,100.0,133512,64.0,14,164,1001.0,1770,1070.79903479781
306,86.9781044335841,24.5241829171174,9472968,146.66666666666666,188,64,754.5,1820,1457.08058778043
307,100.0,0.0,70200,29.333333333333332,18,52,1564.0,1890,1599.42322224184
308,76.4050938097131,74.0087461687421,3119080,97.33333333333333,70,152,416.5,1790,1180.74295296579
309,94.3507674410806,0.0046068088635,25527432,182.66666666666666,184,180,872.5,1850,1651.66280320419
310,100.0,0.0,6168120,119.33333333333333,92,174,1537.0,1690,1642.56259922957
311,74.879898731025,30.0819812933699,6939144,133.33333333333334,172,56,963.5,1680,1415.63055440165
312,75.8001945107601,46.7787051390896,15538472,156.0,142,184,535.0,1640,1370.89792461935
313,82.7186521066672,48.4713380529132,7536264,126.66666666666667,150,80,470.5,1720,1350.02532484376
314,100.0,0.0,19230328,170.0,194,122,1514.0,1690,1647.88998765742
315,88.7257437148535,0.0,17340248,166.0,194,110,1176.0,1680,1573.01756704305
316,75.5268473830001,70.0625370444291,3306840,93.33333333333333,84,112,399.0,1710,1207.96037023351
317,95.2147443447666,0.0,3701704,98.66666666666667,114,68,1369.0,1770,1621.84423943865
318,88.4065348434457,37.9299050561652,5861992,113.33333333333333,100,140,506.0,1900,1431.8207701245
319,40.838817093475,100.0,706328,78.0,110,14,554.5,1760,860.900098484844
320,84.6799682675599,54.4249124839449,2541248,84.66666666666667,84,86,457.5,1880,1308.26660953211
321,89.9191723742361,0.0,22929784,176.66666666666666,168,194,1234.0,1690,1595.43394099269
322,97.1437512056069,0.0,9331400,132.0,118,160,1157.5,1890,1679.21438526859
323,96.0480666324741,0.0,16019096,156.66666666666666,150,170,1326.5,1760,1663.4898030111
324,92.0593007014401,4.3599801527929,8367928,138.0,174,66,990.5,1850,1569.36193184245
325,79.8826803498771,63.8767531358208,2613032,88.0,102,60,507.0,1800,1251.40045885712
326,0.0,99.9996014411887,4014464,141.33333333333334,200,24,272.0,1600,820.882314667026
327,100.0,0.0,27790920,188.0,192,180,1553.0,1700,1673.82740630246
328,90.0480844731273,3.31147222242995,5348920,118.0,82,190,1004.5,1820,1535.63628535304
329,96.0957722545281,0.0,13954104,150.0,140,170,1213.5,1820,1684.11626729457
330,87.7351371903451,30.8607456369417,9573560,132.0,126,144,669.5,1760,1477.56106726984
331,0.0,87.3144933649135,3698520,99.33333333333333,80,138,416.0,1620,1128.87903444078
332,89.9166127251266,0.0,3151560,118.66666666666667,164,28,1312.0,1790,1530.95747789607
333,80.7698041203303,64.728881922764,1878296,90.0,52,166,793.5,1840,1289.72927752451
334,75.5382193387949,76.2571821071525,797816,60.666666666666664,46,90,881.0,1780,1261.15060365051
335,73.4103616095569,74.932902054363,1612568,91.33333333333333,46,182,919.0,1770,1282.60212377184
336,75.8468720354791,21.2113509812173,5759784,119.33333333333333,86,186,1026.0,1670,1447.78700521104
337,0.0,100.0,2391096,96.0,126,36,542.5,1600,1041.39048114632
338,100.0,0.0,8598616,128.66666666666666,114,158,1494.0,1810,1709.3628890542
339,100.0,0.0,4513384,113.33333333333333,144,52,1499.5,1810,1684.96011282619
340,54.8500531982039,100.0,443624,59.333333333333336,30,118,476.0,1780,829.973055618196
341,7.26041184562263,52.4109929461047,11183608,139.33333333333334,130,158,687.0,1600,1350.16037700809
342,99.8948654561987,0.0,563088,54.666666666666664,40,84,1379.5,1860,1542.40326548671
343,67.8695178160857,87.308715003796,2223384,91.33333333333333,58,158,307.5,1700,1043.00871316007
344,64.5847613580726,58.4788370954399,2369240,100.66666666666667,54,194,1000.0,1680,1335.86068265301
345,37.6305581642236,100.0,1959280,104.66666666666667,146,22,301.0,1690,803.701616068411
346,99.8119463552234,0.0,161656,41.333333333333336,22,80,1483.0,1840,1541.83822622219
347,78.212086881861,50.0810689452395,4258104,100.66666666666667,104,94,688.0,1670,1351.38629644318
348,86.1089587343003,43.8142571827345,9921848,140.66666666666666,170,82,285.0,1790,1372.97980830549
349,89.0603043483277,17.6166687817991,10401240,140.66666666666666,112,198,890.0,1740,1531.45560923106
